what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1397286029543
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1397286029543
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1397286029543
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1397286029544
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1397286029545
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1397286029545
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1397286029546
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1397286029546
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1397286029548
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1397286029548
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1397286029549
started,bundle,org.eclipse.wst.css.core,1.1.400.v201005261534,"org.eclipse.wst.css.core",1397286029549
started,bundle,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.ui",1397286029550
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1397286029550
started,bundle,org.eclipse.wst.html.core,1.1.400.v201005261534,"org.eclipse.wst.html.core",1397286029551
started,bundle,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.ui",1397286029551
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1397286029552
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1397286029552
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1397286029554
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.300.v201004150625,"org.eclipse.wst.jsdt.web.core",1397286029554
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.300.v201006030742,"org.eclipse.wst.jsdt.web.ui",1397286029555
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1397286029556
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1397286029556
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1397286029556
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1397286029557
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1397286029558
os,sysinfo,,,"win32",1397286029561
arch,sysinfo,,,"x86_64",1397286029561
ws,sysinfo,,,"win32",1397286029561
locale,sysinfo,,,"en_US",1397286029561
processors,sysinfo,,,"8",1397286029561
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1397286029561
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1397286029561
java.specification.name,sysinfo,,,"Java Platform API Specification",1397286029561
java.specification.vendor,sysinfo,,,"Oracle Corporation",1397286029561
java.specification.version,sysinfo,,,"1.7",1397286029561
java.vendor,sysinfo,,,"Oracle Corporation",1397286029561
java.version,sysinfo,,,"1.7.0_51",1397286029561
java.vm.info,sysinfo,,,"mixed mode",1397286029561
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1397286029561
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1397286029561
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1397286029561
java.vm.specification.version,sysinfo,,,"1.7",1397286029561
java.vm.vendor,sysinfo,,,"Oracle Corporation",1397286029561
java.vm.version,sysinfo,,,"24.51-b03",1397286029561
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1397286042575
opened,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1397286044191
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1397286044301
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286045539
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286046143
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286046275
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286047038
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286047131
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286048958
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286049838
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286051219
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286052834
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286054249
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1397286060341
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.smartEnter",1397286063152
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286069091
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286081055
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1397286082960
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1397286083117
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1397286083259
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1397286083459
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1397286083603
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1397286083728
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1397286084318
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1397286084345
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1397286084374
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1397286084412
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1397286084441
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286086796
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286087623
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1397286089986
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286090600
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286091418
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286092831
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286093712
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1397286094975
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286095979
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286105518
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1397286106971
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1397286110273
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1397286114029
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286114424
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286117526
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286119226
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286416079
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286416636
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286664649
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1397286668710
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1397286670212
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286670544
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286675929
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286676504
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286676922
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286680077
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286682771
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1397286689495
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286689983
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286697547
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286699525
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286710554
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286711146
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286739174
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286739724
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286816145
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397286816702
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397287148591
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397287151820
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397287155422
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397287156978
