what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1397285310942
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1397285311107
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285317289
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285327025
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.smartEnter",1397285329787
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1397285330650
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1397285331436
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285335531
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285358025
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1397285365164
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1397285372200
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285372949
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285379368
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285379585
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285380873
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1397285383771
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285389859
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285392140
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285392488
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285398521
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1397285400435
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1397285400593
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285409452
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285434710
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285438518
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285460748
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285461171
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285461471
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1397285470993
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285471888
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285476837
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285478531
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285480003
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285482894
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285509125
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1397285510877
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1397285511246
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285511670
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285515774
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285516241
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285526942
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1397285529663
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285530011
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285530690
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285530835
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397285545438
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1397285549503
